rank,score,feature_jaccard,id1,cat1,id2,cat2,planted
1,0.9214,0.8571,1709.01726,physics.soc-ph,2004.09314,q-bio.PE,sir_rumor
2,0.7250,0.5000,1702.01718,math.AP,2306.13252,physics.flu-dyn,burgers_traffic
3,0.6979,0.7143,2004.01025,cs.LG,2401.00657,math.OC,
4,0.6700,0.4000,1402.3007,math-ph,1504.03074,q-fin.PR,black_scholes_heat
5,0.6700,0.4000,1709.01726,physics.soc-ph,2208.02457,q-bio.PE,
6,0.6500,0.3636,1807.11410,nlin.AO,2308.15326,physics.soc-ph,kuramoto_powergrid
7,0.6250,0.5000,1403.3103,math.AP,2402.13378,econ.TH,optimal_transport_econ
8,0.6150,0.3000,1506.01137,q-bio.PE,2401.09955,q-fin.PR,
9,0.6150,0.3000,1807.11410,nlin.AO,2202.04557,cs.NE,
10,0.6150,0.3000,2004.01025,cs.LG,2208.02457,q-bio.PE,
11,0.6150,0.3000,2401.00671,math.PR,2401.00822,cond-mat.stat-mech,
12,0.6000,0.2727,1406.2405,q-bio.PE,2401.00671,math.PR,
13,0.5875,0.2500,1712.01032,physics.class-ph,2401.00670,eess.SY,
14,0.5875,0.2500,2401.01171,physics.soc-ph,2401.01632,q-bio.PE,
15,0.5812,0.3750,1607.07287,cond-mat.stat-mech,2401.00664,math.OC,
16,0.5800,0.5000,1008.3331,cond-mat.stat-mech,2401.09955,q-fin.PR,
17,0.5722,0.2222,2004.01025,cs.LG,2401.00670,eess.SY,
18,0.5722,0.2222,2004.09314,q-bio.PE,2401.00670,eess.SY,
19,0.5700,0.3000,1612.08949,physics.soc-ph,2208.02457,q-bio.PE,
20,0.5657,0.4286,2401.00661,eess.SY,2401.00839,econ.TH,
21,0.5621,0.2857,2401.00671,math.PR,2401.01171,physics.soc-ph,
22,0.5600,0.2000,1709.01726,physics.soc-ph,2401.00670,eess.SY,
23,0.5600,0.2000,2004.01025,cs.LG,2004.09314,q-bio.PE,
24,0.5600,0.2000,2208.02457,q-bio.PE,2401.00670,eess.SY,
25,0.5583,0.3333,2012.11533,eess.SY,2401.00940,econ.TH,
26,0.5563,0.3750,1612.08949,physics.soc-ph,2401.00661,eess.SY,
27,0.5500,0.1818,1008.3331,cond-mat.stat-mech,2401.00671,math.PR,
28,0.5500,0.1818,1709.01726,physics.soc-ph,2004.01025,cs.LG,
29,0.5425,0.2500,2401.00822,cond-mat.stat-mech,2401.01171,physics.soc-ph,
30,0.5363,0.3750,1607.07287,cond-mat.stat-mech,2401.00839,econ.TH,
31,0.5333,0.3333,2401.01171,physics.soc-ph,2401.09955,q-fin.PR,
32,0.5188,0.6250,2401.00651,cs.SI,2401.00940,econ.TH,
