rank,score,feature_jaccard,best_view,id1,cat1,id2,cat2,planted,held_out
1,1.0000,1.0000,skel-skel,1403.3103,math.AP,2402.13378,econ.TH,optimal_transport_econ,False
2,1.0000,1.0000,skel-skel,1501.04037,cond-mat.supr-con,1511.02314,nlin.PS,sine_gordon_josephson,True
3,0.8300,0.8000,core-core,1402.3007,math-ph,1504.03074,q-fin.PR,black_scholes_heat,False
4,0.8300,0.8000,skel-skel,2004.01025,cs.LG,2401.00822,cond-mat.stat-mech,,False
5,0.8300,0.8000,skel-skel,2202.04557,cs.NE,2401.00822,cond-mat.stat-mech,,False
6,0.7875,0.7500,skel-core,1402.3007,math-ph,2408.11953,physics.optics,,False
7,0.7875,0.7500,core-core,2401.00664,math.OC,2402.13378,econ.TH,,False
8,0.7833,0.8333,core-core,2004.01025,cs.LG,2401.00657,math.OC,,False
9,0.7571,0.7143,core-skel,1709.01726,physics.soc-ph,2004.09314,q-bio.PE,sir_rumor,False
10,0.7167,0.6667,skel-core,1008.3331,cond-mat.stat-mech,2203.16300,eess.SY,,False
11,0.7167,0.6667,core-core,1504.03074,q-fin.PR,1702.00718,q-bio.NC,,False
12,0.7167,0.6667,skel-skel,2208.02457,q-bio.PE,2505.15526,q-fin.GN,lotka_volterra_econ,False
13,0.6675,0.7500,skel-core,1612.08949,physics.soc-ph,2401.00839,econ.TH,,False
14,0.6600,0.6000,skel-skel,1008.3331,cond-mat.stat-mech,2401.09955,q-fin.PR,,False
15,0.6600,0.6000,skel-core,1402.3007,math-ph,1702.00718,q-bio.NC,,False
16,0.6600,0.6000,skel-skel,2401.00661,eess.SY,2401.00940,econ.TH,,False
17,0.6357,0.5714,skel-core,1702.01718,math.AP,2306.13252,physics.flu-dyn,burgers_traffic,False
18,0.5967,0.6667,core-skel,1501.04037,cond-mat.supr-con,1712.01032,physics.class-ph,,False
19,0.5967,0.6667,skel-skel,2401.00651,cs.SI,2401.00839,econ.TH,,False
20,0.5907,0.5714,core-skel,1612.08949,physics.soc-ph,2203.16300,eess.SY,,False
21,0.5750,0.5000,skel-skel,1008.3331,cond-mat.stat-mech,2401.00670,eess.SY,,False
22,0.5750,0.5000,core-core,1501.04037,cond-mat.supr-con,1602.05417,physics.class-ph,,False
23,0.5750,0.5000,core-core,1504.03074,q-fin.PR,2408.11953,physics.optics,,False
24,0.5750,0.5000,skel-skel,1607.07287,cond-mat.stat-mech,2401.00622,cs.LG,,False
25,0.5750,0.5000,core-core,1702.00718,q-bio.NC,2408.11953,physics.optics,,False
26,0.5750,0.5000,skel-skel,1807.11410,nlin.AO,2203.16300,eess.SY,,False
27,0.5750,0.5000,skel-skel,2203.16300,eess.SY,2505.15526,q-fin.GN,,False
28,0.5750,0.5000,core-core,2401.00657,math.OC,2402.13378,econ.TH,,False
29,0.5750,0.5000,skel-skel,2401.00661,eess.SY,2401.00839,econ.TH,,False
30,0.5750,0.5000,skel-skel,2401.01171,physics.soc-ph,2401.09955,q-fin.PR,,False
31,0.5400,0.6000,core-skel,1402.3007,math-ph,2401.01397,physics.soc-ph,,False
32,0.5300,0.5000,core-skel,2004.01025,cs.LG,2012.11533,eess.SY,,False
33,0.5300,0.5000,skel-skel,2012.11533,eess.SY,2401.00657,math.OC,,False
34,0.5300,0.5000,skel-skel,2401.00657,math.OC,2401.01850,nlin.AO,,False
35,0.5278,0.4444,skel-core,1709.01726,physics.soc-ph,2208.02457,q-bio.PE,,False
36,0.5143,0.4286,core-core,1402.3007,math-ph,1602.05417,physics.class-ph,,False
37,0.5143,0.4286,skel-core,1702.00718,q-bio.NC,2007.02182,quant-ph,,False
38,0.5143,0.4286,skel-skel,1709.01726,physics.soc-ph,2505.15526,q-fin.GN,,False
